Date,Forward,Contract,Route,Price
2/2/2024,Q3,Q_4_2024,BPI5TC,14243
2/2/2024,Y0,Y_2024,BPI5TC,14275
2/2/2024,Y1,Y_2025,BPI5TC,12850
2/2/2024,Y2,Y_2026,BPI5TC,12143
2/2/2024,Y3,Y_2027,BPI5TC,11975
2/5/2024,M0,M_Feb_2024,BPI5TC,12325
2/5/2024,M1,M_Mar_2024,BPI5TC,15275
2/5/2024,M2,M_Apr_2024,BPI5TC,16700
2/5/2024,M3,M_May_2024,BPI5TC,16500
2/5/2024,Q0,Q_1_2024,BPI5TC,13500
2/5/2024,Q1,Q_2_2024,BPI5TC,16125
2/5/2024,Q2,Q_3_2024,BPI5TC,15175
2/5/2024,Q3,Q_4_2024,BPI5TC,14771
2/5/2024,Y0,Y_2024,BPI5TC,14275
2/5/2024,Y1,Y_2025,BPI5TC,13275
2/5/2024,Y2,Y_2026,BPI5TC,12286
2/5/2024,Y3,Y_2027,BPI5TC,12061
2/6/2024,M0,M_Feb_2024,BPI5TC,12700
2/6/2024,M1,M_Mar_2024,BPI5TC,15600
2/6/2024,M2,M_Apr_2024,BPI5TC,16625
2/6/2024,M3,M_May_2024,BPI5TC,16525
2/6/2024,Q0,Q_1_2024,BPI5TC,13500
2/6/2024,Q1,Q_2_2024,BPI5TC,16375
2/6/2024,Q2,Q_3_2024,BPI5TC,15225
2/6/2024,Q3,Q_4_2024,BPI5TC,14925
2/6/2024,Y0,Y_2024,BPI5TC,14275
2/6/2024,Y1,Y_2025,BPI5TC,13325
2/6/2024,Y2,Y_2026,BPI5TC,12286
2/6/2024,Y3,Y_2027,BPI5TC,12089
2/7/2024,M0,M_Feb_2024,BPI5TC,12700
2/7/2024,M1,M_Mar_2024,BPI5TC,15150
2/7/2024,M2,M_Apr_2024,BPI5TC,16625
2/7/2024,M3,M_May_2024,BPI5TC,16525
2/7/2024,Q0,Q_1_2024,BPI5TC,13500
2/7/2024,Q1,Q_2_2024,BPI5TC,16000
2/7/2024,Q2,Q_3_2024,BPI5TC,15225
2/7/2024,Q3,Q_4_2024,BPI5TC,14821
2/7/2024,Y0,Y_2024,BPI5TC,14275
2/7/2024,Y1,Y_2025,BPI5TC,13125
2/7/2024,Y2,Y_2026,BPI5TC,12189
2/7/2024,Y3,Y_2027,BPI5TC,12021
2/8/2024,M0,M_Feb_2024,BPI5TC,13100
2/8/2024,M1,M_Mar_2024,BPI5TC,15600
2/8/2024,M2,M_Apr_2024,BPI5TC,16575
2/8/2024,M3,M_May_2024,BPI5TC,16675
2/8/2024,Q0,Q_1_2024,BPI5TC,13500
2/8/2024,Q1,Q_2_2024,BPI5TC,16525
2/8/2024,Q2,Q_3_2024,BPI5TC,15425
2/8/2024,Q3,Q_4_2024,BPI5TC,15161
2/8/2024,Y0,Y_2024,BPI5TC,14275
2/8/2024,Y1,Y_2025,BPI5TC,13300
2/8/2024,Y2,Y_2026,BPI5TC,12279
2/8/2024,Y3,Y_2027,BPI5TC,12050
